日期,週次,新增確診,每週新增確診,確診總人數,不明性別,不明總數,新增男性,男性總數,確診男性率,新增女性,女性總數,確診女性率,新增軍人,敦睦總人數,軍隊率,新增境外,境外總人數,境外率,新增本土,本土總人數,本土率,新增不明,不明總人數,不明率,新增死亡,死亡總人數,死亡率,當日未知感染源數,未知感染源總數,已知感染源數,新增解除隔離,解除隔離數,解除隔離+死亡,未解除隔離數,備註,,,
11月05日 星期四,45,+1,,569,+0,9,+0,290,50.97%,+1,270,47.45%,+0,36,6.33%,+1,477,83.83%,+0,55,9.67%,+0,1,0.18%,+0,7,1.23%,+0,11,558,+2,523,530,39,,,,
11月06日 星期五,45,+4,,573,+0,9,+0,290,50.61%,+4,274,47.82%,+0,36,6.28%,+4,481,83.94%,+0,55,9.60%,+0,1,0.17%,+0,7,1.22%,+0,11,562,+0,523,530,43,,,,
11月07日 星期六,45,+0,+18,573,+0,9,+0,290,50.61%,+0,274,47.82%,+0,36,6.28%,+0,481,83.94%,+0,55,9.60%,+0,1,0.17%,+0,7,1.22%,+0,11,562,+0,523,530,43,,,,
11月08日 星期日,46,+4,,577,+0,9,+2,292,50.61%,+2,276,47.83%,+0,36,6.24%,+4,485,84.06%,+0,55,9.53%,+0,1,0.17%,+0,7,1.21%,+0,11,566,+1,524,531,46,,,,
11月09日 星期一,46,+1,,578,+0,9,+0,292,50.52%,+1,277,47.92%,+0,36,6.23%,+1,486,84.08%,+0,55,9.52%,+0,1,0.17%,+0,7,1.21%,+0,11,567,+2,526,533,45,,,,
11月10日 星期二,46,+2,,580,+0,9,+0,292,50.34%,+2,279,48.10%,+0,36,6.21%,+2,488,84.14%,+0,55,9.48%,+0,1,0.17%,+0,7,1.21%,+0,11,569,+2,528,535,45,,,,
11月11日 星期三,46,+4,,584,+0,9,+1,293,50.17%,+3,282,48.29%,+0,36,6.16%,+4,492,84.25%,+0,55,9.42%,+0,1,0.17%,+0,7,1.20%,+0,11,573,+0,528,535,49,,,,
11月12日 星期四,46,+5,,589,+0,9,+0,293,49.75%,+5,287,48.73%,+0,36,6.11%,+5,497,84.38%,+0,55,9.34%,+0,1,0.17%,+0,7,1.19%,+0,11,578,+4,532,539,50,,,,
11月13日 星期五,46,+8,,597,+0,9,+4,297,49.75%,+4,291,48.74%,+0,36,6.03%,+8,505,84.59%,+0,55,9.21%,+0,1,0.17%,+0,7,1.17%,+0,11,586,+1,533,540,57,,,,
11月14日 星期六,46,+3,+27,600,+0,9,+1,298,49.67%,+2,293,48.83%,+0,36,6.00%,+3,508,84.67%,+0,55,9.17%,+0,1,0.17%,+0,7,1.17%,+0,11,589,+2,535,542,58,,,,
11月15日 星期日,47,+2,,602,+0,9,+0,298,49.50%,+2,295,49.00%,+0,36,5.98%,+2,510,84.72%,+0,55,9.14%,+0,1,0.17%,+0,7,1.16%,+0,11,591,+1,536,543,59,,,,
11月16日 星期一,47,+1,,603,+0,9,+0,298,49.42%,+1,296,49.09%,+0,36,5.97%,+1,511,84.74%,+0,55,9.12%,+0,1,0.17%,+0,7,1.16%,+0,11,592,+0,536,543,60,,,,
11月17日 星期二,47,+2,,605,+0,9,+2,300,49.59%,+0,296,48.93%,+0,36,5.95%,+2,513,84.79%,+0,55,9.09%,+0,1,0.17%,+0,7,1.16%,+0,11,594,+3,539,546,59,,,,
11月18日 星期三,47,+2,,607,+0,9,+1,301,49.59%,+1,297,48.93%,+0,36,5.93%,+2,515,84.84%,+0,55,9.06%,+0,1,0.16%,+0,7,1.15%,+0,11,596,+2,541,548,59,,,,
11月19日 星期四,47,+2,,609,+0,9,+0,301,49.43%,+2,299,49.10%,+0,36,5.91%,+2,517,84.89%,+0,55,9.03%,+0,1,0.16%,+0,7,1.15%,+0,11,598,+4,545,552,57,,,,
11月20日 星期五,47,+2,,611,+0,9,+0,301,49.26%,+2,301,49.26%,+0,36,5.89%,+2,519,84.94%,+0,55,9.00%,+0,1,0.16%,+0,7,1.15%,+0,11,600,+1,546,553,58,,,,
11月21日 星期六,47,+0,+11,611,+0,9,+0,301,49.26%,+0,301,49.26%,+0,36,5.89%,+0,519,84.94%,+0,55,9.00%,+0,1,0.16%,+0,7,1.15%,+0,11,600,+0,546,553,58,,,,
11月22日 星期日,48,+6,,617,+0,9,+1,302,48.95%,+5,306,49.59%,+0,36,5.83%,+6,525,85.09%,+0,55,8.91%,+0,1,0.16%,+0,7,1.13%,+0,11,606,+2,548,555,62,,,,
11月23日 星期一,48,+1,,618,+0,9,+1,303,49.03%,+0,306,49.51%,+0,36,5.83%,+1,526,85.11%,+0,55,8.90%,+0,1,0.16%,+0,7,1.13%,+0,11,607,+0,548,555,63,,,,
11月24日 星期二,48,+0,,618,+0,9,+0,303,49.03%,+0,306,49.51%,+0,36,5.83%,+0,526,85.11%,+0,55,8.90%,+0,1,0.16%,+0,7,1.13%,+0,11,607,+0,548,555,63,,,,
11月25日 星期三,48,+5,,623,+0,9,+1,304,48.80%,+4,310,49.76%,+0,36,5.78%,+5,531,85.23%,+0,55,8.83%,+0,1,0.16%,+0,7,1.12%,+0,11,612,+1,549,556,67,,,,
11月26日 星期四,48,+2,,625,+0,9,+1,305,48.80%,+1,311,49.76%,+0,36,5.76%,+2,533,85.28%,+0,55,8.80%,+0,1,0.16%,+0,7,1.12%,+0,11,614,+6,555,562,63,,,,
11月27日 星期五,48,+14,,639,+0,9,+1,306,47.89%,+13,324,50.70%,+0,36,5.63%,+14,547,85.60%,+0,55,8.61%,+0,1,0.16%,+0,7,1.10%,+0,11,628,+0,555,562,77,,,,
11月28日 星期六,48,+9,+37,648,+0,9,+1,307,47.38%,+8,332,51.23%,+0,36,5.56%,+9,556,85.80%,+0,55,8.49%,+0,1,0.15%,+0,7,1.08%,+0,11,637,+1,556,563,85,,,,
11月29日 星期日,49,+3,,651,+0,9,+0,307,47.16%,+3,335,51.46%,+0,36,5.53%,+3,559,85.87%,+0,55,8.45%,+0,1,0.15%,+0,7,1.08%,+0,11,640,+9,565,572,79,,,,
11月30日 星期一,49,+24,,675,+20,29,+3,310,45.93%,+1,336,49.78%,+0,36,5.33%,+24,583,86.37%,+0,55,8.15%,+0,1,0.15%,+0,7,1.04%,+0,11,664,+0,565,572,103,17女3男,,,
12月01日 星期二,49,+4,,679,+0,29,+3,313,46.10%,+1,337,49.63%,+0,36,5.30%,+4,587,86.45%,+0,55,8.10%,+0,1,0.15%,+0,7,1.03%,+0,11,668,+3,568,575,104,,,,
12月02日 星期三,49,+6,,685,+0,29,+4,317,46.28%,+2,339,49.49%,+0,36,5.26%,+6,593,86.57%,+0,55,8.03%,+0,1,0.15%,+0,7,1.02%,+0,11,674,+2,570,577,108,,,,
12月03日 星期四,49,+1,,686,+0,29,+0,317,46.21%,+1,340,49.56%,+0,36,5.25%,+1,594,86.59%,+0,55,8.02%,+0,1,0.15%,+0,7,1.02%,+0,11,675,+2,572,579,107,,,,
12月04日 星期五,49,+4,,690,+0,29,+3,320,46.38%,+1,341,49.42%,+0,36,5.22%,+4,598,86.67%,+0,55,7.97%,+0,1,0.14%,+0,7,1.01%,+0,11,679,+0,572,579,111,,,,
12月05日 星期六,49,+4,+46,694,+0,29,+2,322,46.40%,+2,343,49.42%,+0,36,5.19%,+4,602,86.74%,+0,55,7.93%,+0,1,0.14%,+0,7,1.01%,+0,11,683,+2,574,581,113,,,,
12月06日 星期日,50,+22,,716,+17,46,+3,325,45.39%,+2,345,48.18%,+0,36,5.03%,+22,624,87.15%,+0,55,7.68%,+0,1,0.14%,+0,7,0.98%,+0,11,705,+0,574,581,135,15女2男,,,
12月07日 星期一,50,+0,,716,+0,46,+0,325,45.39%,+0,345,48.18%,+0,36,5.03%,+0,624,87.15%,+0,55,7.68%,+0,1,0.14%,+0,7,0.98%,+0,11,705,+0,574,581,135,,,,
12月08日 星期二,50,+2,,718,+0,46,+1,326,45.40%,+1,346,48.19%,+0,36,5.01%,+2,626,87.19%,+0,55,7.66%,+0,1,0.14%,+0,7,0.97%,+0,11,707,+8,582,589,129,,,,
12月09日 星期三,50,+2,,720,+0,46,+2,328,45.56%,+0,346,48.06%,+0,36,5.00%,+2,628,87.22%,+0,55,7.64%,+0,1,0.14%,+0,7,0.97%,+0,11,709,+3,585,592,128,,,,
12月10日 星期四,50,+4,,724,+0,46,+2,330,45.58%,+2,348,48.07%,+0,36,4.97%,+4,632,87.29%,+0,55,7.60%,+0,1,0.14%,+0,7,0.97%,+0,11,713,+5,590,597,127,,,,
12月11日 星期五,50,+1,,725,+0,46,+0,330,45.52%,+1,349,48.14%,+0,36,4.97%,+1,633,87.31%,+0,55,7.59%,+0,1,0.14%,+0,7,0.97%,+0,11,714,+5,595,602,123,,,,
12月12日 星期六,50,+8,+39,733,+0,46,+1,331,45.16%,+7,356,48.57%,+0,36,4.91%,+8,641,87.45%,+0,55,7.50%,+0,1,0.14%,+0,7,0.95%,+0,11,722,+6,601,608,125,,,,
12月13日 星期日,51,+3,,736,+0,46,+1,332,45.11%,+2,358,48.64%,+0,36,4.89%,+3,644,87.50%,+0,55,7.47%,+0,1,0.14%,+0,7,0.95%,+0,11,725,+5,606,613,123,,,,
12月14日 星期一,51,+4,,740,+0,46,+2,334,45.14%,+2,360,48.65%,+0,36,4.86%,+4,648,87.57%,+0,55,7.43%,+0,1,0.14%,+0,7,0.95%,+0,11,729,+0,606,613,127,,,,
12月15日 星期二,51,+2,,742,+0,46,+1,335,45.15%,+1,361,48.65%,+0,36,4.85%,+2,650,87.60%,+0,55,7.41%,+0,1,0.13%,+0,7,0.94%,+0,11,731,+5,611,618,124,,,,
12月16日 星期三,51,+7,,749,+4,50,+3,338,45.13%,+0,361,48.20%,+0,36,4.81%,+7,657,87.72%,+0,55,7.34%,+0,1,0.13%,+0,7,0.93%,+0,11,738,+1,612,619,130,2女2男,,,
12月17日 星期四,51,+8,,757,+4,54,+2,340,44.91%,+2,363,47.95%,+0,36,4.76%,+8,665,87.85%,+0,55,7.27%,+0,1,0.13%,+0,7,0.92%,+0,11,746,+4,616,623,134,3女1男,,,
12月18日 星期五,51,+2,,759,+0,54,+0,340,44.80%,+2,365,48.09%,+0,36,4.74%,+2,667,87.88%,+0,55,7.25%,+0,1,0.13%,+0,7,0.92%,+0,11,748,+3,619,626,133,,,,
12月19日 星期六,51,+4,+30,763,+0,54,+3,343,44.95%,+1,366,47.97%,+0,36,4.72%,+4,671,87.94%,+0,55,7.21%,+0,1,0.13%,+0,7,0.92%,+0,11,752,+6,625,632,131,,,,
12月20日 星期日,52,+3,,766,+0,54,+3,346,45.17%,+0,366,47.78%,+0,36,4.70%,+3,674,87.99%,+0,55,7.18%,+0,1,0.13%,+0,7,0.91%,+0,11,755,+2,627,634,132,,,,
12月21日 星期一,52,+0,,766,+0,54,+0,346,45.17%,+0,366,47.78%,+0,36,4.70%,+0,674,87.99%,+0,55,7.18%,+0,1,0.13%,+0,7,0.91%,+0,11,755,+0,627,634,132,,,,
12月22日 星期二,52,+4,,770,+0,54,+2,348,45.19%,+2,368,47.79%,+0,36,4.68%,+3,677,87.92%,+1,56,7.27%,+0,1,0.13%,+0,7,0.91%,+0,11,759,+5,632,639,131,,,,
12月23日 星期三,52,+6,,776,+0,54,+3,351,45.23%,+3,371,47.81%,+0,36,4.64%,+6,683,88.02%,+0,56,7.22%,+0,1,0.13%,+0,7,0.90%,+0,11,765,+0,632,639,137,,,,
12月24日 星期四,52,+0,,776,+0,54,+0,351,45.23%,+0,371,47.81%,+0,36,4.64%,+0,683,88.02%,+0,56,7.22%,+0,1,0.13%,+0,7,0.90%,+0,11,765,+3,635,642,134,,,,
12月25日 星期五,52,+4,,780,+0,54,+2,353,45.26%,+2,373,47.82%,+0,36,4.62%,+4,687,88.08%,+0,56,7.18%,+0,1,0.13%,+0,7,0.90%,+0,11,769,+5,640,647,133,,,,
12月26日 星期六,52,+3,+20,783,+0,54,+3,356,45.47%,+0,373,47.64%,+0,36,4.60%,+3,690,88.12%,+0,56,7.15%,+0,1,0.13%,+0,7,0.89%,+0,11,772,+7,647,654,129,,,,
12月27日 星期日,53,+2,,785,+0,54,+2,358,45.61%,+0,373,47.52%,+0,36,4.59%,+2,692,88.15%,+0,56,7.13%,+0,1,0.13%,+0,7,0.89%,+0,11,774,+6,653,660,125,,,,
12月28日 星期一,53,+8,,793,+0,54,+6,364,45.90%,+2,375,47.29%,+0,36,4.54%,+8,700,88.27%,+0,56,7.06%,+0,1,0.13%,+0,7,0.88%,+0,11,782,+1,654,661,132,,,,
12月29日 星期二,53,+2,,795,+0,54,+2,366,46.04%,+0,375,47.17%,+0,36,4.53%,+2,702,88.30%,+0,56,7.04%,+0,1,0.13%,+0,7,0.88%,+0,11,784,+7,661,668,127,,,,
12月30日 星期三,53,+2,,797,+0,54,+0,366,45.92%,+2,377,47.30%,+0,36,4.52%,+2,704,88.33%,+0,56,7.03%,+0,1,0.13%,+0,7,0.88%,+0,11,786,+0,661,668,129,,,,
12月31日 星期四,53,+2,+16,799,+0,54,+2,368,46.06%,+0,377,47.18%,+0,36,4.51%,+2,706,88.36%,+0,56,7.01%,+0,1,0.13%,+0,7,0.88%,+0,11,788,+10,671,678,121,,,,
2021分隔線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01月01日 星期五,1,+3,,802,+0,54,+3,371,46.26%,+0,377,47.01%,+0,36,4.49%,+3,709,88.40%,+0,56,6.98%,+0,1,0.12%,+0,7,0.87%,+0,11,791,+11,682,689,113,,,,
01月02日 星期六,1,+6,+9,808,+0,54,+2,373,46.16%,+4,381,47.15%,+0,36,4.46%,+6,715,88.49%,+0,56,6.93%,+0,1,0.12%,+0,7,0.87%,+0,11,797,+4,686,693,115,,,,
01月03日 星期日,2,+4,,812,+0,54,+2,375,46.18%,+2,383,47.17%,+0,36,4.43%,+4,719,88.55%,+0,56,6.90%,+0,1,0.12%,+0,7,0.86%,+0,11,801,+3,689,696,116,,,,
01月04日 星期一,2,+3,,815,+0,54,+0,375,46.01%,+3,386,47.36%,+0,36,4.42%,+3,722,88.59%,+0,56,6.87%,+0,1,0.12%,+0,7,0.86%,+0,11,804,+7,696,703,112,,,,
01月05日 星期二,2,+2,,817,+0,54,+0,375,45.90%,+2,388,47.49%,+0,36,4.41%,+2,724,88.62%,+0,56,6.85%,+0,1,0.12%,+0,7,0.86%,+0,11,806,+1,697,704,113,,,,
01月06日 星期三,2,+2,,819,+0,54,+2,377,46.03%,+0,388,47.37%,+0,36,4.40%,+2,726,88.64%,+0,56,6.84%,+0,1,0.12%,+0,7,0.85%,+0,11,808,+0,697,704,115,,,,
01月07日 星期四,2,+3,,822,+0,54,+2,379,46.11%,+1,389,47.32%,+0,36,4.38%,+3,729,88.69%,+0,56,6.81%,+0,1,0.12%,+0,7,0.85%,+0,11,811,+11,708,715,107,,,,
01月08日 星期五,2,+3,,825,+0,54,+1,380,46.06%,+2,391,47.39%,+0,36,4.36%,+3,732,88.73%,+0,56,6.79%,+0,1,0.12%,+0,7,0.85%,+0,11,814,+6,714,721,104,,,,
01月09日 星期六,2,+3,+20,828,+0,54,+2,382,46.14%,+1,392,47.34%,+0,36,4.35%,+3,735,88.77%,+0,56,6.76%,+0,1,0.12%,+0,7,0.85%,+0,11,817,+6,720,727,101,,,,
01月10日 星期日,3,+0,,828,+0,54,+0,382,46.14%,+0,392,47.34%,+0,36,4.35%,+0,735,88.77%,+0,56,6.76%,+0,1,0.12%,+0,7,0.85%,+0,11,817,+0,720,727,101,,,,
01月11日 星期一,3,+6,,834,+0,54,+3,385,46.16%,+3,395,47.36%,+0,36,4.32%,+6,741,88.85%,+0,56,6.71%,+0,1,0.12%,+0,7,0.84%,+0,11,823,+6,726,733,101,,,,
01月12日 星期二,3,+4,,838,+0,54,+2,387,46.18%,+2,397,47.37%,+0,36,4.30%,+2,743,88.66%,+2,58,6.92%,+0,1,0.12%,+0,7,0.84%,+0,11,827,+4,730,737,101,,,,
01月13日 星期三,3,+4,,842,+0,54,+4,391,46.44%,+0,397,47.15%,+0,36,4.28%,+4,747,88.72%,+0,58,6.89%,+0,1,0.12%,+0,7,0.83%,+0,11,831,+0,730,737,105,,,,
01月14日 星期四,3,+0,,842,+0,54,+0,391,46.44%,+0,397,47.15%,+0,36,4.28%,+0,747,88.72%,+0,58,6.89%,+0,1,0.12%,+0,7,0.83%,+0,11,831,+1,731,738,104,,,,
01月15日 星期五,3,+1,,843,+0,54,+1,392,46.50%,+0,397,47.09%,+0,36,4.27%,+1,748,88.73%,+0,58,6.88%,+0,1,0.12%,+0,7,0.83%,+0,11,832,+10,741,748,95,,,,
01月16日 星期六,3,+8,+23,851,+0,54,+6,398,46.77%,+2,399,46.89%,+0,36,4.23%,+7,755,88.72%,+1,59,6.93%,+0,1,0.12%,+0,7,0.82%,+0,11,840,+10,751,758,93,,,,
01月17日 星期日,4,+4,,855,+0,54,+4,402,47.02%,+0,399,46.67%,+0,36,4.21%,+3,758,88.65%,+1,60,7.02%,+0,1,0.12%,+0,7,0.82%,+0,11,844,+4,755,762,93,,,,
01月18日 星期一,4,+7,,862,+0,54,+3,405,46.98%,+4,403,46.75%,+0,36,4.18%,+6,764,88.63%,+1,61,7.08%,+0,1,0.12%,+0,7,0.81%,+0,11,851,+1,756,763,99,,,,
01月19日 星期二,4,+6,,868,+0,54,+2,407,46.89%,+4,407,46.89%,+0,36,4.15%,+2,766,88.25%,+4,65,7.49%,+0,1,0.12%,+0,7,0.81%,+0,11,857,+10,766,773,95,,,,
01月20日 星期三,4,+2,,870,+0,54,+0,407,46.78%,+2,409,47.01%,+0,36,4.14%,+1,767,88.16%,+1,66,7.59%,+0,1,0.11%,+0,7,0.80%,+0,11,859,+3,769,776,94,,,,
01月21日 星期四,4,+3,,873,+0,54,+2,409,46.85%,+1,410,46.96%,+0,36,4.12%,+3,770,88.20%,+0,66,7.56%,+0,1,0.11%,+0,7,0.80%,+0,11,862,+2,771,778,95,,,,
01月22日 星期五,4,+8,,881,+0,54,+7,416,47.22%,+1,411,46.65%,+0,36,4.09%,+6,776,88.08%,+2,68,7.72%,+0,1,0.11%,+0,7,0.79%,+0,11,870,+6,777,784,97,,,,
01月23日 星期六,4,+3,+33,884,+0,54,+1,417,47.17%,+2,413,46.72%,+0,36,4.07%,+2,778,88.01%,+1,69,7.81%,+0,1,0.11%,+0,7,0.79%,+0,11,873,+6,783,790,94,,,,
01月24日 星期日,5,+5,,889,+0,54,+3,420,47.24%,+2,415,46.68%,+0,36,4.05%,+3,781,87.85%,+2,71,7.99%,+0,1,0.11%,+0,7,0.79%,+0,11,878,+4,787,794,95,,,,
01月25日 星期一,5,+0,,889,+0,54,+0,420,47.24%,+0,415,46.68%,+0,36,4.05%,+0,781,87.85%,+0,71,7.99%,+0,1,0.11%,+0,7,0.79%,+0,11,878,+0,787,794,95,,,,
01月26日 星期二,5,+1,,890,+0,54,+1,421,47.30%,+0,415,46.63%,+0,36,4.04%,+1,782,87.87%,+0,71,7.98%,+0,1,0.11%,+0,7,0.79%,+0,11,879,+10,797,804,86,,,,
01月27日 星期三,5,+3,,893,+0,54,+2,423,47.37%,+1,416,46.58%,+0,36,4.03%,+3,785,87.91%,+0,71,7.95%,+0,1,0.11%,+0,7,0.78%,+0,11,882,+0,797,804,89,,,,
01月28日 星期四,5,+2,,895,+0,54,+2,425,47.49%,+0,416,46.48%,+0,36,4.02%,+2,787,87.93%,+0,71,7.93%,+0,1,0.11%,+0,7,0.78%,+0,11,884,+12,809,816,79,,,,
01月29日 星期五,5,+4,,899,+0,54,+1,426,47.39%,+3,419,46.61%,+0,36,4.00%,+4,791,87.99%,+0,71,7.90%,+0,1,0.11%,+1,8,0.89%,+0,11,888,+4,813,821,78,,,,
01月30日 星期六,5,+10,+25,909,+4,58,+3,429,47.19%,+3,422,46.42%,+0,36,3.96%,+6,797,87.68%,+4,75,8.25%,+0,1,0.11%,+0,8,0.88%,+0,11,898,+10,823,831,78,,,,
01月31日 星期日,6,+2,,911,+0,58,+1,430,47.20%,+1,423,46.43%,+0,36,3.95%,+2,799,87.71%,+0,75,8.23%,+0,1,0.11%,+0,8,0.88%,+0,11,900,+7,830,838,73,,,,
02月01日 星期一,6,+1,,912,+0,58,+1,431,47.26%,+0,423,46.38%,+0,36,3.95%,+1,800,87.72%,+0,75,8.22%,+0,1,0.11%,+0,8,0.88%,+0,11,901,+0,830,838,74,,,,
02月02日 星期二,6,+3,,915,+0,58,+2,433,47.32%,+1,424,46.34%,+0,36,3.93%,+3,803,87.76%,+0,75,8.20%,+0,1,0.11%,+0,8,0.87%,+0,11,904,+2,832,840,75,,,,
02月03日 星期三,6,+2,,917,+0,58,+2,435,47.44%,+0,424,46.24%,+0,36,3.93%,+2,805,87.79%,+0,75,8.18%,+0,1,0.11%,+1,9,0.98%,+0,11,906,+2,834,843,74,,,,
02月04日 星期四,6,+2,,919,+0,58,+1,436,47.44%,+1,425,46.25%,+0,36,3.92%,+2,807,87.81%,+0,75,8.16%,+0,1,0.11%,+0,9,0.98%,+0,11,908,+5,839,848,71,,,,
02月05日 星期五,6,+4,,923,+0,58,+3,439,47.56%,+1,426,46.15%,+0,36,3.90%,+3,810,87.76%,+1,76,8.23%,+0,1,0.11%,+0,9,0.98%,+0,11,912,+2,841,850,73,,,,
02月06日 星期六,6,+1,+15,924,+0,58,+1,440,47.62%,+0,426,46.10%,+0,36,3.90%,+1,811,87.77%,+0,76,8.23%,+0,1,0.11%,+0,9,0.97%,+0,11,913,+2,843,852,72,,,,
02月07日 星期日,7,+3,,927,+0,58,+3,443,47.79%,+0,426,45.95%,+0,36,3.88%,+3,814,87.81%,+0,76,8.20%,+0,1,0.11%,+0,9,0.97%,+0,11,916,+1,844,853,74,,,,
02月08日 星期一,7,+1,,928,+0,58,+0,443,47.74%,+1,427,46.01%,+0,36,3.88%,+1,815,87.82%,+0,76,8.19%,+0,1,0.11%,+0,9,0.97%,+0,11,917,+4,848,857,71,,,,
02月09日 星期二,7,+5,,933,+0,58,+0,443,47.48%,+5,432,46.30%,+0,36,3.86%,+4,819,87.78%,+1,77,8.25%,+0,1,0.11%,+0,9,0.96%,+0,11,922,+2,850,859,74,,,,
02月10日 星期三,7,+2,,935,+0,58,+2,445,47.59%,+0,432,46.20%,+0,36,3.85%,+2,821,87.81%,+0,77,8.24%,+0,1,0.11%,+0,9,0.96%,+0,11,924,+3,853,862,73,,,,
02月11日 星期四,7,+1,,936,+0,58,+1,446,47.65%,+0,432,46.15%,+0,36,3.85%,+1,822,87.82%,+0,77,8.23%,+0,1,0.11%,+0,9,0.96%,+0,11,925,+6,859,868,68,,,,
02月12日 星期五,7,+1,,937,+0,58,+1,447,47.71%,+0,432,46.10%,+0,36,3.84%,+1,823,87.83%,+0,77,8.22%,+0,1,0.11%,+0,9,0.96%,+0,11,926,+0,859,868,69,,,,
02月13日 星期六,7,+0,+13,937,+0,58,+0,447,47.71%,+0,432,46.10%,+0,36,3.84%,+0,823,87.83%,+0,77,8.22%,+0,1,0.11%,+0,9,0.96%,+0,11,926,+0,859,868,69,,,,
02月14日 星期日,8,+0,,937,+0,58,+0,447,47.71%,+0,432,46.10%,+0,36,3.84%,+0,823,87.83%,+0,77,8.22%,+0,1,0.11%,+0,9,0.96%,+0,11,926,+0,859,868,69,,,,
02月15日 星期一,8,+0,,937,+0,58,+0,447,47.71%,+0,432,46.10%,+0,36,3.84%,+0,823,87.83%,+0,77,8.22%,+0,1,0.11%,+0,9,0.96%,+0,11,926,+0,859,868,69,,,,
02月16日 星期二,8,+0,,937,+0,58,+0,447,47.71%,+0,432,46.10%,+0,36,3.84%,+0,823,87.83%,+0,77,8.22%,+0,1,0.11%,+0,9,0.96%,+0,11,926,+0,859,868,69,,,,
02月17日 星期三,8,+1,,938,+0,58,+0,447,47.65%,+1,433,46.16%,+0,36,3.84%,+1,824,87.85%,+0,77,8.21%,+0,1,0.11%,+0,9,0.96%,+0,11,927,+20,879,888,50,,,,
02月18日 星期四,8,+2,,940,+0,58,+1,448,47.66%,+1,434,46.17%,+0,36,3.83%,+2,826,87.87%,+0,77,8.19%,+0,1,0.11%,+0,9,0.96%,+0,11,929,+7,886,895,45,,,,
02月19日 星期五,8,+1,,941,+0,58,+1,449,47.72%,+0,434,46.12%,+0,36,3.83%,+1,827,87.89%,+0,77,8.18%,+0,1,0.11%,+0,9,0.96%,+0,11,930,+2,888,897,44,,,,
02月20日 星期六,8,+1,+5,942,+0,58,+1,450,47.77%,+0,434,46.07%,+0,36,3.82%,+1,828,87.90%,+0,77,8.17%,+0,1,0.11%,+0,9,0.96%,+0,11,931,+5,893,902,40,,,,
02月21日 星期日,9,+0,,942,+0,58,+0,450,47.77%,+0,434,46.07%,+0,36,3.82%,+0,828,87.90%,+0,77,8.17%,+0,1,0.11%,+0,9,0.96%,+0,11,931,+0,893,902,40,,,,
02月22日 星期一,9,+0,,942,+0,58,+0,450,47.77%,+0,434,46.07%,+0,36,3.82%,+0,828,87.90%,+0,77,8.17%,+0,1,0.11%,+0,9,0.96%,+0,11,931,+0,893,902,40,,,,
02月23日 星期二,9,+0,,942,+0,58,+0,450,47.77%,+0,434,46.07%,+0,36,3.82%,+0,828,87.90%,+0,77,8.17%,+0,1,0.11%,+0,9,0.96%,+0,11,931,+0,893,902,40,,,,
02月24日 星期三,9,+4,,946,+0,58,+2,452,47.78%,+2,436,46.09%,+0,36,3.81%,+4,832,87.95%,+0,77,8.14%,+0,1,0.11%,+0,9,0.95%,+0,11,935,+6,899,908,38,,,,
02月25日 星期四,9,+5,,951,+0,58,+0,452,47.53%,+5,441,46.37%,+0,36,3.79%,+5,837,88.01%,+0,77,8.10%,+0,1,0.11%,+0,9,0.95%,+0,11,940,+7,906,915,36,,,,
02月26日 星期五,9,+0,,951,+0,58,+0,452,47.53%,+0,441,46.37%,+0,36,3.79%,+0,837,88.01%,+0,77,8.10%,+0,1,0.11%,+0,9,0.95%,+0,11,940,+0,906,915,36,,,,
02月27日 星期六,9,+3,+12,954,+0,58,+1,453,47.48%,+2,443,46.44%,+0,36,3.77%,+3,840,88.05%,+0,77,8.07%,+0,1,0.10%,+0,9,0.94%,+0,11,943,+11,917,926,28,,,,
02月28日 星期日,10,+1,,955,+0,58,+1,454,47.54%,+0,443,46.39%,+0,36,3.77%,+1,841,88.06%,+0,77,8.06%,+0,1,0.10%,+0,9,0.94%,+0,11,944,+2,919,928,27,,,,
03月01日 星期一,10,+0,,955,+0,58,+0,454,47.54%,+0,443,46.39%,+0,36,3.77%,+0,841,88.06%,+0,77,8.06%,+0,1,0.10%,+0,9,0.94%,+0,11,944,+0,919,928,27,,,,
03月02日 星期二,10,+0,,955,+0,58,+0,454,47.54%,+0,443,46.39%,+0,36,3.77%,+0,841,88.06%,+0,77,8.06%,+0,1,0.10%,+0,9,0.94%,+0,11,944,+0,919,928,27,,,,
03月03日 星期三,10,+3,,958,+0,58,+2,456,47.60%,+1,444,46.35%,+0,36,3.76%,+3,844,88.10%,+0,77,8.04%,+0,1,0.10%,+0,9,0.94%,+0,11,947,+7,926,935,23,,,,
03月04日 星期四,10,+2,,960,+0,58,+2,458,47.71%,+0,444,46.25%,+0,36,3.75%,+2,846,88.13%,+0,77,8.02%,+0,1,0.10%,+0,9,0.94%,+0,11,949,+2,928,937,23,,,,
03月05日 星期五,10,+0,,960,+0,58,+0,458,47.71%,+0,444,46.25%,+0,36,3.75%,+0,846,88.13%,+0,77,8.02%,+0,1,0.10%,+1,10,1.04%,+0,11,949,+0,928,938,22,,,,
03月06日 星期六,10,+7,+13,967,+0,58,+7,465,48.09%,+0,444,45.92%,+0,36,3.72%,+7,853,88.21%,+0,77,7.96%,+0,1,0.10%,+0,10,1.03%,+0,11,956,+4,932,942,25,,,,
